 ,Area,Major,Minor,Angle
202,927.738,35.174,33.582,163.640
203,2797.793,74.187,48.017,2.254
204,2481.258,59.872,52.766,137.581
205,2641.608,74.041,45.426,142.182
206,2552.062,60.155,54.017,48.240
207,1049.563,46.882,28.504,149.572
208,760.100,34.909,27.723,156.900
209,2485.423,59.000,53.636,137.120
210,1779.467,55.363,40.925,52.464
211,1720.117,49.196,44.519,115.685
212,2586.422,65.700,50.124,54.443
213,2642.649,67.210,50.063,117.168
214,1592.045,49.083,41.298,173.822
215,2850.895,73.206,49.585,91.078
216,2132.445,85.169,31.879,10.860
217,1118.284,41.869,34.007,88.526
218,1891.920,53.063,45.397,140.675
219,2068.930,53.830,48.936,64.110
220,1373.386,43.713,40.003,34.909
221,1659.725,52.649,40.138,46.907
222,1826.322,52.919,43.942,0.520
223,1135.985,39.043,37.046,95.168
224,2677.010,71.045,47.977,99.064
225,2947.730,81.392,46.112,112.093
226,2043.940,56.927,45.715,2.921
227,3300.708,82.413,50.994,112.102
228,1830.487,49.886,46.720,128.249
