 ,Area,Major,Minor,Angle
180,1637.588,47.005,44.358,171.964
181,1214.162,43.257,35.738,137.077
182,1688.603,49.526,43.412,64.928
183,2029.385,60.362,42.807,105.707
184,1451.893,43.433,42.562,79.345
185,871.340,44.345,25.018,86.546
186,2468.115,62.519,50.265,76.126
187,1940.618,50.453,48.974,177.320
188,1840.629,53.378,43.905,6.972
189,2175.288,61.446,45.075,75.573
190,1882.461,57.534,41.660,76.846
191,2615.039,58.124,57.284,151.300
192,1679.420,56.301,37.980,78.096
193,3067.034,69.894,55.871,26.561
194,2514.029,65.166,49.120,43.731
195,2267.116,61.840,46.678,108.285
196,1079.482,38.752,35.467,130.272
197,2857.872,63.604,57.209,148.635
198,1817.162,58.362,39.644,144.352
199,3170.085,71.928,56.116,24.968
200,3481.277,68.662,64.555,167.773
201,1934.496,52.073,47.301,103.937
202,3694.521,79.191,59.401,70.353
203,2098.765,61.925,43.153,152.787
204,3385.369,82.479,52.260,114.468
205,3781.247,91.413,52.667,118.379
206,1496.786,49.108,38.808,133.637
207,3747.577,82.325,57.960,171.235
208,6601.367,113.263,74.209,146.512
209,3801.653,79.544,60.852,174.238
210,1682.481,48.358,44.299,127.206
211,3051.729,63.864,60.842,32.054
212,3723.089,77.445,61.210,122.167
213,3138.455,66.598,60.002,84.434
214,1927.354,51.704,47.462,137.329
215,1461.075,49.653,37.466,63.626
216,2011.019,54.534,46.953,98.774
217,3535.354,76.840,58.581,154.834
218,2494.643,60.150,52.806,15.942
219,2586.471,72.358,45.513,9.562
220,2895.623,67.344,54.746,162.677
221,3484.338,71.147,62.355,160.195
222,2139.578,54.212,50.250,49.688
223,2145.699,68.225,40.044,83.445
224,2366.085,57.387,52.496,121.284
225,1857.974,56.281,42.033,52.340
226,2030.405,58.473,44.212,165.635
